opportunity_id,account_id,owner_id,opportunity_name,opportunity_type,stage_name,forecast_category,amount,currency_code,term_months,created_date,close_date,is_closed,is_won,contract_id
OPP-000001,ACC-0001,USR-010,"Ellis, Baker and Wright - New Business",New Business,Closed Won,Closed,232000.0,EUR,24,2023-01-23,2023-05-11,1,1,CTR-00001
OPP-000002,ACC-0001,USR-010,"Ellis, Baker and Wright - Expansion",Expansion,Closed Won,Closed,24000.0,EUR,24,2023-09-28,2023-11-25,1,1,CTR-00002
OPP-000003,ACC-0001,USR-010,"Ellis, Baker and Wright - Renewal",Renewal,Closed Won,Closed,256000.0,EUR,24,2024-03-20,2024-05-20,1,1,CTR-00003
OPP-000004,ACC-0001,USR-010,"Ellis, Baker and Wright - Renewal",Renewal,Closed Won,Closed,256000.0,EUR,24,2025-03-23,2025-05-04,1,1,CTR-00004
OPP-000005,ACC-0001,USR-010,"Ellis, Baker and Wright - Churn",Churn,Closed Lost,Omitted,256000.0,EUR,12,2025-07-13,2025-10-03,1,0,
OPP-000006,ACC-0002,USR-016,"Ryan, Burgess and Patterson - New Business",New Business,Closed Won,Closed,1045000.0,USD,24,2023-02-28,2023-06-23,1,1,CTR-00005
OPP-000007,ACC-0002,USR-016,"Ryan, Burgess and Patterson - Downgrade",Downgrade,Closed Won,Closed,-95000.0,USD,12,2023-09-11,2023-12-18,1,1,CTR-00006
OPP-000008,ACC-0002,USR-016,"Ryan, Burgess and Patterson - Renewal",Renewal,Closed Won,Closed,942000.0,USD,12,2024-03-23,2024-06-26,1,1,CTR-00007
OPP-000009,ACC-0002,USR-016,"Ryan, Burgess and Patterson - Expansion",Expansion,Closed Won,Closed,32000.0,USD,12,2024-05-27,2024-08-10,1,1,CTR-00008
OPP-000010,ACC-0002,USR-016,"Ryan, Burgess and Patterson - Expansion",Expansion,Closed Won,Closed,112000.0,USD,24,2025-03-23,2025-05-03,1,1,CTR-00009
OPP-000011,ACC-0002,USR-016,"Ryan, Burgess and Patterson - Renewal",Renewal,Closed Won,Closed,1086000.0,USD,12,2025-03-23,2025-06-15,1,1,CTR-00010
OPP-000012,ACC-0003,USR-004,"Ross, Robinson and Bright - New Business",New Business,Closed Won,Closed,1045000.0,USD,36,2024-07-17,2024-10-14,1,1,CTR-00011
OPP-000013,ACC-0003,USR-004,"Ross, Robinson and Bright - Expansion",Expansion,Closed Won,Closed,252000.0,USD,12,2024-11-07,2025-01-03,1,1,CTR-00012
OPP-000014,ACC-0003,USR-004,"Ross, Robinson and Bright - Expansion",Expansion,Closed Won,Closed,84000.0,USD,12,2024-12-17,2025-03-20,1,1,CTR-00013
OPP-000015,ACC-0003,USR-004,"Ross, Robinson and Bright - Expansion",Expansion,Closed Won,Closed,285000.0,USD,12,2025-06-10,2025-09-22,1,1,CTR-00014
OPP-000016,ACC-0003,USR-004,"Ross, Robinson and Bright - Renewal",Renewal,Closed Won,Closed,1666000.0,USD,36,2025-07-22,2025-10-27,1,1,CTR-00015
OPP-000017,ACC-0004,USR-017,"Snyder, Campos and Callahan - New Business",New Business,Closed Won,Closed,194000.0,EUR,12,2022-11-06,2023-02-20,1,1,CTR-00016
OPP-000018,ACC-0004,USR-017,"Snyder, Campos and Callahan - Renewal",Renewal,Closed Won,Closed,176000.0,EUR,36,2023-12-20,2024-02-21,1,1,CTR-00017
OPP-000019,ACC-0004,USR-017,"Snyder, Campos and Callahan - Renewal",Renewal,Closed Won,Closed,176000.0,EUR,24,2024-11-06,2025-02-26,1,1,CTR-00018
OPP-000020,ACC-0005,USR-016,Burton Ltd - New Business,New Business,Closed Won,Closed,323000.0,USD,12,2023-12-08,2024-01-20,1,1,CTR-00019
OPP-000021,ACC-0005,USR-016,Burton Ltd - Renewal,Renewal,Closed Won,Closed,298000.0,USD,24,2024-11-14,2025-01-25,1,1,CTR-00020
OPP-000022,ACC-0005,USR-016,Burton Ltd - Expansion,Expansion,Closed Won,Closed,24000.0,USD,36,2024-11-16,2025-02-08,1,1,CTR-00021
OPP-000023,ACC-0006,USR-024,Carlson-Cruz - New Business,New Business,Closed Won,Closed,52000.0,USD,12,2023-02-17,2023-04-14,1,1,CTR-00022
OPP-000024,ACC-0006,USR-024,Carlson-Cruz - Renewal,Renewal,Closed Won,Closed,44000.0,USD,24,2024-01-18,2024-04-15,1,1,CTR-00023
OPP-000025,ACC-0006,USR-024,Carlson-Cruz - Downgrade,Downgrade,Closed Won,Closed,-22000.0,USD,12,2024-02-14,2024-05-13,1,1,CTR-00024
OPP-000026,ACC-0006,USR-024,Carlson-Cruz - Renewal,Renewal,Closed Won,Closed,22000.0,USD,24,2024-12-29,2025-04-07,1,1,CTR-00025
OPP-000027,ACC-0006,USR-024,Carlson-Cruz - Expansion,Expansion,Closed Won,Closed,22000.0,USD,12,2025-03-07,2025-06-16,1,1,CTR-00026
OPP-000028,ACC-0006,USR-024,Carlson-Cruz - Expansion,Expansion,Closed Won,Closed,22000.0,USD,24,2025-10-03,2025-11-14,1,1,CTR-00027
OPP-000029,ACC-0007,USR-023,"Ferrell, Rice and Maddox - New Business",New Business,Closed Won,Closed,226000.0,USD,12,2025-02-06,2025-05-12,1,1,CTR-00028
OPP-000030,ACC-0007,USR-023,"Ferrell, Rice and Maddox - Expansion",Expansion,Closed Won,Closed,950000.0,USD,12,2025-09-24,2025-11-04,1,1,CTR-00029
OPP-000031,ACC-0008,USR-014,Frazier Inc - New Business,New Business,Closed Won,Closed,252000.0,EUR,24,2022-12-26,2023-04-07,1,1,CTR-00030
