usage_month,account_id,product_id,consumed_units,consumed_value
2023-05-01,ACC-0001,ONCALL,2.12,2120.0
2023-06-01,ACC-0001,ONCALL,2.85,2850.0
2023-07-01,ACC-0001,ONCALL,2.42,2420.0
2023-08-01,ACC-0001,ONCALL,2.69,2690.0
2023-09-01,ACC-0001,ONCALL,2.68,2680.0
2023-10-01,ACC-0001,ONCALL,1.92,1920.0
2023-05-01,ACC-0001,TEMPO-ENT,1.76,4106.67
2023-06-01,ACC-0001,TEMPO-ENT,2.4,5600.0
2023-07-01,ACC-0001,TEMPO-ENT,2.2,5133.33
2023-08-01,ACC-0001,TEMPO-ENT,2.36,5506.67
2023-09-01,ACC-0001,TEMPO-ENT,1.8,4200.0
2023-10-01,ACC-0001,TEMPO-ENT,1.98,4620.0
2023-11-01,ACC-0001,TEMPO-ENT,2.16,5040.0
2023-12-01,ACC-0001,TEMPO-ENT,1.98,4620.0
2024-01-01,ACC-0001,TEMPO-ENT,1.84,4293.33
2024-02-01,ACC-0001,TEMPO-ENT,2.12,4946.67
2024-03-01,ACC-0001,TEMPO-ENT,1.77,4130.0
2024-04-01,ACC-0001,TEMPO-ENT,2.23,5203.33
2024-05-01,ACC-0001,TEMPO-ENT,1.86,4340.0
2024-06-01,ACC-0001,TEMPO-ENT,2.42,5646.67
2024-07-01,ACC-0001,TEMPO-ENT,1.89,4410.0
2024-08-01,ACC-0001,TEMPO-ENT,1.8,4200.0
2024-09-01,ACC-0001,TEMPO-ENT,2.06,4806.67
2024-10-01,ACC-0001,TEMPO-ENT,2.39,5576.67
2024-11-01,ACC-0001,TEMPO-ENT,2.13,4970.0
2024-12-01,ACC-0001,TEMPO-ENT,2.41,5623.33
2025-01-01,ACC-0001,TEMPO-ENT,1.87,4363.33
2025-02-01,ACC-0001,TEMPO-ENT,2.25,5250.0
2025-03-01,ACC-0001,TEMPO-ENT,1.88,4386.67
2025-04-01,ACC-0001,TEMPO-ENT,1.97,4596.67
2025-05-01,ACC-0001,TEMPO-ENT,1.91,4456.67
2025-06-01,ACC-0001,TEMPO-ENT,2.21,5156.67
2025-07-01,ACC-0001,TEMPO-ENT,1.92,4480.0
2025-08-01,ACC-0001,TEMPO-ENT,1.76,4106.67
2025-09-01,ACC-0001,TEMPO-ENT,1.97,4596.67
2023-05-01,ACC-0001,SLO,9.7,11316.67
2023-06-01,ACC-0001,SLO,8.4,9800.0
2023-07-01,ACC-0001,SLO,8.63,10068.33
2023-08-01,ACC-0001,SLO,9.68,11293.33
2023-09-01,ACC-0001,SLO,9.95,11608.33
2023-10-01,ACC-0001,SLO,8.34,9730.0
2023-11-01,ACC-0001,SLO,8.04,9380.0
2023-12-01,ACC-0001,SLO,9.14,10663.33
2024-01-01,ACC-0001,SLO,9.21,10745.0
2024-02-01,ACC-0001,SLO,10.23,11935.0
2024-03-01,ACC-0001,SLO,9.89,11538.33
2024-04-01,ACC-0001,SLO,7.39,8621.67
2024-05-01,ACC-0001,SLO,9.89,11538.33
2024-06-01,ACC-0001,SLO,7.03,8201.67
2024-07-01,ACC-0001,SLO,8.12,9473.33
2024-08-01,ACC-0001,SLO,7.36,8586.67
2024-09-01,ACC-0001,SLO,10.16,11853.33
2024-10-01,ACC-0001,SLO,6.99,8155.0
2024-11-01,ACC-0001,SLO,7.3,8516.67
2024-12-01,ACC-0001,SLO,7.11,8295.0
2025-01-01,ACC-0001,SLO,7.24,8446.67
2025-02-01,ACC-0001,SLO,7.25,8458.33
2025-03-01,ACC-0001,SLO,7.45,8691.67
2025-04-01,ACC-0001,SLO,10.14,11830.0
2025-05-01,ACC-0001,SLO,6.79,7921.67
2025-06-01,ACC-0001,SLO,8.21,9578.33
2025-07-01,ACC-0001,SLO,9.17,10698.33
2025-08-01,ACC-0001,SLO,10.07,11748.33
2025-09-01,ACC-0001,SLO,8.42,9823.33
2023-11-01,ACC-0001,ONCALL,4.29,4290.0
2023-12-01,ACC-0001,ONCALL,3.65,3650.0
2024-01-01,ACC-0001,ONCALL,3.24,3240.0
2024-02-01,ACC-0001,ONCALL,4.69,4690.0
2024-03-01,ACC-0001,ONCALL,3.54,3540.0
2024-04-01,ACC-0001,ONCALL,4.83,4830.0
2024-05-01,ACC-0001,ONCALL,4.29,4290.0
2024-06-01,ACC-0001,ONCALL,3.87,3870.0
